equipamento,faixa,observacoes,baixa_ate30,dias_com_dados,perc_ate30,dias_analisados,dias_baixa_velocidade,perc_dias_baixa,velocidade_media_estimada,equipamento_historico,id_numerico,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,localizado,hora_pico,perc_ate30_no_pico,perc_dias_criticos_no_pico
CTTU-9451,C,1409504.0,496548.0,231,35.228562671691606,231,16,6.926406926406926,31.27579630848866,CTTU-9451,9451,"AV. RUI BARBOSA, N. 1397",-,-8.0411938,-34.9033352,3.0,40 km/h e 60 Km/h,26300.0,True,7.0,63.80897060651858,57.81990521327014
CTTU-9438,B,1917561.0,669666.0,236,34.92280036984482,236,13,5.508474576271186,32.214299831921906,CTTU-9438,9438,"AV. DOM JOAO VI, PROXIMO AO SEMAFORO 669",SUBURBIO,-8.1157197,-34.9043244,2.0,50 Km/h,16100.0,True,17.0,52.750718856367065,63.22869955156951
CTTU-9452,A,687658.0,232002.0,234,33.73799185060015,234,1,0.4273504273504274,31.76150062967347,CTTU-9452,9452,RUA ARQUITETO LUIZ NUNES ENTRE O N.315 E 379,SUBURBIO,-8.0874203,-34.9099345,3.0,40 Km/h,12700.0,True,20.0,40.79771259324954,11.682242990654206
CTTU-9447,B,2333192.0,784693.0,228,33.63173712236284,228,80,35.08771929824561,31.64537962650245,CTTU-9447,9447,"AV. DOM JOAO VI, ENTRE OS Nº 777 E 835",CENTRO,-8.1163615,-34.9043619,3.0,50 Km/h,22900.0,True,7.0,56.77259927191918,55.39906103286385
CTTU-9453,C,2630409.0,868857.0,235,33.03125103358451,235,2,0.851063829787234,33.81682658476306,CTTU-9453,9453,"AV. SATURNINO DE BRITO, ENTRE O N. 384 E 478",SUBURBIO,-8.0795892,-34.8927619,3.0,60 Km/h,36300.0,True,17.0,57.46670715291739,63.67713004484305
CTTU-9461,C,1656801.0,546941.0,235,33.011870466036655,235,10,4.25531914893617,32.94354780299372,CTTU-9461,9461,"AV. ANTONIO DE GOÂS, EM FRENTE AO N.124",-,-8.088326,-34.88377,3.0,60 Km/h,27300.0,True,8.0,47.23846640551803,42.72300469483568
CTTU-9459,C,1231414.0,387261.0,235,31.448481176923437,235,1,0.425531914893617,35.66086628867302,CTTU-9459,9459,"AV. ENG. ABDIAS DE CARVALHO, ENTRE OS Nº 1785 E 1745",CENTRO,-8.062475,-34.917508,3.0,60 Km/h,24000.0,True,8.0,49.991495750191675,37.55656108597285
CTTU-9473,D,258762.0,78370.0,228,30.28651811316963,228,7,3.070175438596491,36.06302316414311,CTTU-9473,9473,"AV. MAL. MASCARENHAS DE MORAES, N. 2557",CENTRO,-8.1067792,-34.9113295,4.0,60 Km/h,36900.0,True,18.0,43.04969557200816,37.83783783783784
CTTU-9478,A,765323.0,225437.0,108,29.456451720384724,108,6,5.555555555555555,33.70506069435915,CTTU-9478,9478,"RUA SÃO MIGUEL, APÃ S O N. 1194",SUBURBIO,-8.0807426,-34.9175662,2.0,50 Km/h,14900.0,True,18.0,55.2268161457448,64.81481481481481
CTTU-9461,B,2444658.0,719235.0,235,29.420679702436903,235,3,1.276595744680851,34.1587555202131,CTTU-9461,9461,"AV. ANTONIO DE GOÂS, EM FRENTE AO N.124",-,-8.088326,-34.88377,3.0,60 Km/h,27300.0,True,8.0,42.78228633660187,38.028169014084504
CTTU-9466,D,328647.0,92535.0,210,28.156350126427444,210,4,1.9047619047619049,37.67843613360232,CTTU-9466,9466,"AV. MAL. MASCARENHAS DE MORAES, EM FRENTE AEROPORTO",CENTRO,-8.130636,-34.915938,4.0,60 Km/h,37200.0,True,7.0,39.4815374947577,26.842105263157894
