equipamento,faixa,perc_ate30,perc_dias_criticos_DIA_INTEIRO,hora_pico,perc_ate30_no_pico,perc_dias_criticos_no_pico
CTTU-9454,B,37.178101079516544,20.33898305084746,7.0,60.558002832306705,69.19642857142857
CTTU-9447,A,35.88835995549448,39.03508771929825,7.0,57.149489296004404,55.86854460093896
CTTU-9438,A,35.821025573999044,6.3559322033898304,12.0,45.49449745065313,54.46428571428571
CTTU-9451,C,35.228562671691606,6.926406926406926,7.0,63.80897060651858,57.81990521327014
CTTU-9438,B,34.92280036984482,5.508474576271186,17.0,52.750718856367065,63.22869955156951
CTTU-9452,A,33.73799185060015,0.4273504273504274,20.0,40.79771259324954,11.682242990654206
CTTU-9447,B,33.63173712236284,35.08771929824561,7.0,56.77259927191918,55.39906103286385
CTTU-9453,C,33.03125103358451,0.851063829787234,17.0,57.46670715291739,63.67713004484305
CTTU-9461,C,33.011870466036655,4.25531914893617,8.0,47.23846640551803,42.72300469483568
CTTU-9459,C,31.448481176923437,0.425531914893617,8.0,49.991495750191675,37.55656108597285
CTTU-9473,D,30.28651811316963,3.070175438596491,18.0,43.04969557200816,37.83783783783784
CTTU-9478,A,29.456451720384724,5.555555555555555,18.0,55.2268161457448,64.81481481481481
CTTU-9461,B,29.420679702436903,1.276595744680851,8.0,42.78228633660187,38.028169014084504
CTTU-9466,D,28.156350126427444,1.9047619047619049,7.0,39.4815374947577,26.842105263157894
CTTU-9474,A,28.078092529804223,1.550387596899225,17.0,44.51389352117101,41.732283464566926
CTTU-9455,B,27.438999758717557,0.0,17.0,37.55856177578819,4.464285714285714
CTTU-9474,B,26.87073046672719,0.0,17.0,43.12363408835085,31.496062992125985
CTTU-9471,D,26.656345316044217,0.43668122270742354,9.0,37.19850539927074,23.22274881516588
CTTU-9451,B,26.493989258102317,0.0,7.0,64.79725538473794,55.714285714285715
CTTU-9450,A,22.79927957403635,0.0,4.0,50.1475435152361,42.72300469483568
CTTU-9454,A,21.659982973329935,0.847457627118644,7.0,46.39029820865725,45.089285714285715
CTTU-9443,A,21.55772995572818,6.986899563318777,7.0,33.05999106656775,30.952380952380953
CTTU-9452,C,20.948089225789694,0.4273504273504274,17.0,28.63093591598435,0.0
CTTU-9452,B,20.0857100665127,0.0,18.0,26.419985569590214,0.9090909090909091
CTTU-9472,C,19.588362694975775,0.0,17.0,30.311089256791412,13.839285714285715
CTTU-9465,C,19.043341125211903,0.0,2.0,24.998843860352668,0.4524886877828055
CTTU-9459,B,18.994346223774343,0.0,8.0,39.49878129525373,32.126696832579185
CTTU-9481,C,18.84064345168065,15.476190476190476,5.0,50.755282194783035,33.33333333333333
CTTU-9470,D,17.182453666222695,0.851063829787234,3.0,32.13299812678695,32.298136645962735
CTTU-9464,D,16.95982114238092,7.203389830508475,8.0,28.264299842600625,15.246636771300448
CTTU-9459,A,16.435655385880278,0.0,9.0,36.191641192300615,27.601809954751133
CTTU-9477,A,16.419300173187583,0.0,7.0,33.575636331220636,30.555555555555557
CTTU-9443,C,16.212275938013242,26.637554585152838,7.0,45.53776904736851,42.18009478672986
CTTU-9482,D,16.11333812998938,2.083333333333333,4.0,51.26270733012306,67.41573033707866
CTTU-9466,A,15.577080679263059,1.9047619047619049,8.0,48.1770052538396,49.473684210526315
CTTU-9476,B,14.823750119916005,0.0,18.0,33.368880056060696,16.50485436893204
CTTU-9473,A,14.012896950817627,3.070175438596491,18.0,32.44203324706169,25.77777777777778
CTTU-9443,B,13.72847960847072,9.170305676855897,7.0,32.24013839053946,30.952380952380953
CTTU-9464,C,13.55145554039962,0.423728813559322,8.0,25.683046727911687,14.349775784753364
CTTU-9480,C,13.537428146999936,0.0,5.0,20.803544766827656,0.0
CTTU-9442,C,13.27126276956225,26.29310344827586,5.0,39.783181529977135,32.857142857142854
CTTU-9448,C,13.138500846411597,0.0,17.0,33.6810472913428,19.90950226244344
CTTU-9467,D,12.904966393666516,0.0,18.0,30.152479377837455,17.08542713567839
CTTU-9442,A,12.221999381814493,1.293103448275862,9.0,13.028656100231007,9.859154929577464
CTTU-9475,B,12.053911753046766,0.0,4.0,20.101357046979707,0.0
CTTU-9466,B,11.865828109419922,0.0,8.0,45.59477218969265,47.89473684210526
CTTU-9467,C,11.848888740237804,0.0,17.0,36.6601093847723,32.82828282828283
CTTU-9448,A,11.601122817416018,0.0,17.0,21.455438216101403,6.787330316742081
CTTU-9466,C,11.582407108688852,0.47393364928909953,8.0,45.07751302243544,46.31578947368421
CTTU-9453,A,11.552104048800986,0.0,17.0,43.67044193827127,50.672645739910315
CTTU-9465,B,11.213451928351724,0.0,1.0,21.590730343013636,0.0
CTTU-9445,C,11.144302312795514,0.43103448275862066,4.0,49.50736967637365,64.97175141242938
CTTU-9481,B,10.815020846694349,0.0,18.0,13.924967499582857,1.2048192771084338
CTTU-9463,D,10.810545480508353,0.0,3.0,32.63346021093817,36.54822335025381
CTTU-9472,A,10.77476570325734,2.643171806167401,4.0,16.561424322135657,6.8807339449541285
CTTU-9481,A,10.426120758123375,0.0,2.0,32.47602486252162,31.25
