_id,tipo_equipamento,registro_inmetro,numero_serie_fabricante,identificacao_equipamento,local_instalacao,sentido_fiscalizacao,latitude,longitude,faixas_fiscalizadas,velocidade_fiscalizada,vmd,periodo_vmd
34,FIXO,Portaria 018/2018-243/2022,R14971,9471,"AV. MAL. MASCARENHAS DE MORAES, N. 1413",CENTRO,-8.0947039,-34.9091814,4,60 Km/h,33600,set/25
35,FIXO,Portaria 018/2018-243/2022,R14972,9472,"AV. MAL. MASCARENHAS DE MORAES, N. 2686",SUBéRBIO,-8.1059586,-34.9114179,4,60 Km/h,33200,set/25
36,FIXO,Portaria 018/2018-243/2022,R14973,9473,"AV. MAL. MASCARENHAS DE MORAES, N. 2557",CENTRO,-8.1067792,-34.9113295,4,60 Km/h,36900,set/25
37,FIXO,Portaria 018/2018-243/2022,R14648,9474,"AV. ENG. JOS ESTELITA, APàS O VIADUTO DAS CINCO PONTAS",BOA VIAGEM,-8.0740393,-34.8833045,2,40 Km/h,21100,set/25
38,FIXO,Portaria 018/2018-243/2022,R15568,9475,"AV. DR. JOS RUFINO, APàS O N. 3775",CENTRO,-8.090489,-34.955414,2,50 Km/h,9800,set/25
39,FIXO,Portaria 018/2018-243/2022,R15569,9476,"AV. DR. JOS RUFINO, LADO OPOSTO AO N. 3625",SUBURBIO,-8.0902019,-34.95470157,2,50 Km/h,10900,set/25
40,FIXO,Portaria 018/2018-243/2022,R15570,9477,"RUA SÇO MIGUEL, APàS O N. 1165",CENTRO,-8.080834,-34.917056,2,50 Km/h,18700,set/25
41,FIXO,Portaria 018/2018-243/2022,R15571,9478,"RUA SÇO MIGUEL, APàS O N. 1194",SUBURBIO,-8.0807426,-34.9175662,2,50 Km/h,14900,set/25
42,FIXO,Portaria 018/2018-243/2022,R15573,9479,"AV. PRESIDENTE DUTRA, APOS O N. 180",CEASA,-8.121656,-34.918030,3,50 Km/h,43200,set/25
43,FIXO,Portaria 018/2018-243/2022,R15574,9480,"AV. PRESIDENTE DUTRA, N. 91",BOA VIAGEM,-8.121783,-34.918223,3,50 Km/h,32900,set/25
44,FIXO,Portaria 018/2018-243/2022,R15572,9481,"AV. ENG. JOS ESTELITA, PRàXIMO A RUA DR. GEORGE LATACHE",CENTRO,-8.075645,-34.887832,3,40 Km/h,23200,set/25
45,FIXO,Portaria 018/2018-243/2022,R15575,9482,"VIADUTO PAPA JOÇO PAULO II, S/N",BOA VIAGEM,-8.0702082,-34.8963520,4,60 Km/h,34700,set/25
46,FIXO,Portaria 018/2018-243/2022,R15576,9483,"VIADUTO PAPA JOÇO PAULO II, S/N",OLINDA,-8.070348,-34.896009,4,60 Km/h,24900,set/25
47,FIXO,Portaria 245/2022,D0480,FC004,"AV. HERCULANO BANDEIRA, SEMAFORO 137.",-,-8.088917,-34.885222,4,60 Km/h,40100,set/25
48,FIXO,Portaria 245/2022,D0401,FC005,"AV. ENG. DOMINGOS FERREIRA, SEMAFORO 338.",-,-8.1214621,-34.8989295,4,60 Km/h,41400,set/25
49,FIXO,Portaria 245/2022,D0407,FC006,"AV. ENG. DOMINGOS FERREIRA, SEMAFORO 297.",-,-8.105234,-34.8894862,4,60 Km/h,27900,set/25
50,FIXO,Portaria 245/2022,D0409,FC007,"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271.",ROD. BR 232,-8.0640708,-34.9356262,3,60 Km/h,41800,set/25
51,FIXO,Portaria 245/2022,D0400,FC008,"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 271.",CENTRO,-8.0639982,-34.9357633,3,60 Km/h,39200,set/25
52,FIXO,Portaria 245/2022,D0489,FC009,"AV. CDE. DA BOA VISTA, SEMAFORO 486.",DOIS SENTIDOS,-8.0611731,-34.8832374,4,40 Km/h,6600,set/25
53,FIXO,Portaria 245/2022,D0274,FC010,"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069.",OLINDA,-8.0621773,-34.8977463,4,60 Km/h,25300,set/25
54,FIXO,Portaria 245/2022,D0483,FC011,"RUA PROF. ARNALDO CARNEIRO LEAO, SEMAFORO 544.",SUBURBIO,-8.1150776,-34.9006014,3,60 Km/h,19000,set/25
55,FIXO,Portaria 245/2022,D0275,FC012,"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 173.",OLINDA,-8.0517371,-34.8950253,4,60 Km/h,39300,set/25
56,FIXO,Portaria 245/2022,D0405,FC013,"AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 531",AEROPORTO,-8.1273685,-34.9155198,4,60 Km/h,32500,set/25
57,FIXO,Portaria 245/2022,D0487,FC014,"AV. BOA VIAGEM, SEMAFORO 104.",CENTRO,-8.0918999,-34.8820963,4,60 Km/h,36600,set/25
58,FIXO,Portaria 245/2022,D0399,FC015,"AV. MARECHAL MASCARENHAS DE MORAES, SEMAFORO 530",AFOGADOS,-8.1273685,-34.9155198,4,60 Km/h,46200,set/25
59,FIXO,Portaria 245/2022,D0477,FC016,"AV. RECIFE, SEMAFORO 336",BOA VIAGEM,-8.1003307,-34.9282209,3,60 Km/h,34800,set/25
60,FIXO,Portaria 245/2022,D0478,FC017,"AV. RECIFE, SEMAFORO 617",CEASA,-8.1005774,-34.9280712,3,60 Km/h,44300,set/25
61,FIXO,Portaria 245/2022,D0366,FC018,"PRA€A DO DERBY, SEMµFORO 516",-,-8.056833,-34.899694,2,50 Km/h,3700,set/25
62,FIXO,Portaria 245/2022,D0484,FC020,"AV. BEBERIBE SANTA CRUZ F. C., SEMAFORO 131.",SUBURBIO,-8.0279204,-34.8928982,2,50 Km/h,14400,set/25
63,FIXO,Portaria 245/2022,D0404,FC021,"AV. ENG. ABDIAS DE CARVALHO, SEMAFORO 328.",BR 232,-8.0623563,-34.9168512,3,60 Km/h,38100,set/25
64,FIXO,Portaria 245/2022,D0485,FC022,"RUA REAL DA TORRE, SEMAFORO 237.",AFOGADOS,-8.0551303,-34.9089717,3,50 Km/h,42700,set/25
65,FIXO,Portaria 245/2022,D0362,FC023,"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMAFORO 424",SUBURBIO,-8.0183345,-34.9282768,2,60 Km/h,23900,set/25
66,FIXO,Portaria 245/2022,D0402,FC024,"RUA GUILHERME PINTO, SEMAFORO 432.",-,-8.0520646,-34.9021759,2,40 Km/h,9800,set/25
67,FIXO,Portaria 245/2022,D0486,FC025,"AV. DESEMBARGADOR JOS NEVES, SEMAFORO 580",CENTRO,-8.1214768,-34.9093352,2,50 Km/h,27300,set/25
68,FIXO,Portaria 245/2022,D0361,FC026,"AV. DESEMBARGADOR JOS NEVES, SEMAFORO 400",SUBURBIO,-8.1212609,-34.9097869,2,50 Km/h,16300,set/25
69,FIXO,Portaria 245/2022,D0364,FC027,"RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158",SUBURBIO,-8.1363211,-34.9036065,2,60 Km/h,17300,set/25
70,FIXO,Portaria 245/2022,D0490,FC028,"RUA VISCONDE DE JEQUITINHONHA,SEMAFORO 158",SUBURBIO,-8.136419,-34.903309,2,60 Km/h,13300,set/25
71,FIXO,Portaria 245/2022,D0482,FC029,RUA FALCAO DE LACERDA SEMAFORO 285,DOIS SENTIDOS,-8.0921203,-34.9615959,2,50 Km/h,16500,set/25
72,FIXO,Portaria 245/2022,D0363,FC030,"AV. LIBERDADE, SEMAFORO 440",BR 232,-8.0810669,-34.9683467,2,50 Km/h,8800,set/25
73,FIXO,Portaria 245/2022,D0403,FC031,"AV. GOV. AGAMENON MAGALHÇES, SEMµFORO 049",OLINDA,-8.0394729,-34.878737,4,60 Km/h,33300,set/25
74,FIXO,Portaria 245/2022,D0408,FC032,"AV. GOV. AGAMENON MAGALHÇES, SEMµFORO 049",BOA VIAGEM,-8.0399542,-34.878934,4,60 Km/h,28500,set/25
75,FIXO,Portaria 245/2022,D0412,FC033,"AV. DR. JOSE RUFINO, SEMAFORO 082",DOIS SENTIDOS,-8.0846532,-34.9280179,4,50 Km/h,33900,set/25
76,FIXO,Portaria 245/2022,D0406,FC034,"ESTRADA VELHA DE µGUA FRIA, SEMµFORO 306",SUBURBIO,-8.026749,-34.897962,3,60 Km/h,22100,set/25
77,FIXO,Portaria 245/2022,D0314,FC035,"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMµFORO 062",SUBURBIO,-8.029633,-34.900494,2,60 Km/h,18600,set/25
78,FIXO,Portaria 245/2022,D0365,FC036,"AV. NORTE MIGUEL ARRAES DE ALENCAR, SEMµFORO 081",CENTRO,-8.033536,-34.896475,2,60 Km/h,16400,set/25
79,FIXO,Portaria 245/2022,D0276,FC037,"AV. GOV. AGAMENON MAGALHAES, SEMAFORO 069",BOA VIAGEM,-8.0621773,-34.8977463,4,60 Km/h,36400,set/25
